Stars,Service,Rooms,Cleanliness,SleepQuality,Description
4,4,4,5,4,"Overall, I had a great experience here."
3,4,3,4,3,Nice atmosphere.
5,4,4,5,5,Friendly staff. Clean hotel.
5,5,5,5,5,The staff at this property are all great! They all go above and beyond to make your stay comfortable. 
4,4,5,5,4,Really nice hotel.
5,4,5,5,5,"The rooms were clean, very comfortable, and the staff was amazing."
4,4,4,4,4,Great location. We really loved the character of the hotel.
4,5,4,5,4,"Beautiful rooms, great ambiance in the hotel dining room and bar."
4,3,5,5,4,Really nice hotel.
4,3,4,4,4,Really nice hotel.
5,5,5,5,5,This hotel is perfect!